u, y, t
-96,-128271,8345
-96,-128109,8350
-96,-127939,8355
-96,-127772,8360
-97,-127649,8365
-97,-127481,8370
-97,-127318,8375
-97,-127153,8380
-97,-126990,8385
-97,-126828,8390
-98,-126660,8395
-98,-126491,8400
-98,-126329,8406
-98,-126166,8411
-98,-125995,8416
-99,-125829,8421
-99,-125659,8426
-99,-125493,8431
-99,-125325,8436
-99,-125168,8441
-99,-125001,8446
-100,-124874,8451
-100,-124704,8456
-100,-124534,8461
-100,-124367,8466
-100,-124208,8471
-100,-124034,8476
-101,-123860,8481
-101,-123689,8486
-101,-123548,8491
-101,-123373,8496
-101,-123211,8501
-101,-123043,8506
-102,-122871,8511
-102,-122698,8516
-102,-122523,8521
-102,-122349,8526
-102,-122178,8531
-102,-122042,8536
-103,-121876,8541
-103,-121711,8546
-103,-121535,8551
-103,-121358,8556
-103,-121186,8561
-103,-121013,8566
-104,-120836,8571
-104,-120702,8576
-104,-120537,8581
-104,-120360,8586
-104,-120192,8591
-104,-120015,8596
-105,-119832,8601
-105,-119652,8606
-105,-119470,8611
-105,-119291,8616
-105,-119152,8621
-105,-118980,8626
-106,-118796,8631
-106,-118614,8636
-106,-118438,8641
-106,-118256,8646
-106,-118073,8651
-107,-117891,8656
-107,-117706,8662
-107,-117521,8667
-107,-117339,8672
-107,-117158,8677
-107,-116981,8682
-108,-116802,8687
-108,-116616,8692
-108,-116430,8697
-108,-116245,8702
-108,-116094,8707
-108,-115904,8712
-109,-115717,8717
-109,-115532,8722
-109,-115354,8727
-109,-115175,8732
